Restaurant ID,Restaurant,Address,Locality,Cuisines,Average Cost for two,Rating,Rating text,Votes
309688,Frosted Heaven,"55-C, 2nd Floor, DDA Flats, Next to Chirag Dilli Flyover, Masjid Moth, Near Greater Kailash (GK) 3, New Delhi",Greater Kailash (GK) 3,"Bakery, Desserts",300,4,Good,46
18334422,Baskin Robbins,"G-53, Green Park, New Delhi",Green Park,Ice Cream,300,3,Average,9
18365388,Behrouz Biryani,"Green Park, New Delhi",Green Park,Biryani,600,3,Average,51
18312607,Cafe Coffee Day,"HPCL Petrol Pump, Near IOC Office, Green Park, New Delhi",Green Park,Cafe,450,3,Average,4
309322,Cakeatouille,"P-11, 2nd Floor, Green Park Extension, Green Park, New Delhi",Green Park,"Bakery, Desserts",800,3,Average,15
18429154,Chilli Singh,"G-1 A, Aashirwad Complex, D-1, Green Park, New Delhi",Green Park,"Chinese, Thai, Seafood",800,3,Average,7
18336220,Da Pizza Corner,"107-A, Gautam Nagar, Green Park, New Delhi",Green Park,Pizza,600,3,Average,4
203,Domino's Pizza,"S-27, Ground Floor, Main Market, Green Park, New Delhi",Green Park,"Pizza, Fast Food",700,3,Average,238
18414479,Faasos,"Shop G-1B, Ground Floor, Ashirwad complex, Near Uphar Cinema, Green Park, New Delhi",Green Park,"North Indian, Fast Food",600,3,Average,13
1625,Gupta Ji Ka Dhaba,"Near Uphaar Cinema, Green Park Extension Market, Green Park, New Delhi",Green Park,North Indian,300,3,Average,49
2899,Karim's,"A-22, Aurobindo Place Market, Near Green Park Masjid, Green Park, New Delhi",Green Park,"Mughlai, North Indian",750,3,Average,235
18180081,Let's Tango,"Shop C-107, Ground Floor, Green Park, New Delhi",Green Park,"North Indian, Fast Food",400,3,Average,5
473,Madras Cafe,"S-26, Main Market, Green Park, New Delhi",Green Park,South Indian,300,3,Average,191
18355419,Nachos And Company,"L-1, 3rd Floor, Green Park Extension, Green Park, New Delhi",Green Park,Mexican,700,3,Average,14
18432237,Ovenstory Pizza,"Green Park, New Delhi",Green Park,"Pizza, Fast Food",500,3,Average,6
259,Pizza Hut,"S-32, Main Road Market, Green Park, New Delhi",Green Park,"Italian, Pizza, Fast Food",1000,3,Average,276
7316,Red Chilli,"S-15, Uphaar Cinema Complex, Opposite Metro Station, Green Park, New Delhi",Green Park,"North Indian, Chinese",1500,3,Average,104
18222566,The Groghead,"A-5, 2nd Floor, Above Hyundai Showroom, Green Park, New Delhi",Green Park,"Italian, North Indian",1700,3,Average,267
443,The Tandoor,"G-15, D-1, Aashirwaad Complex, Green Park, New Delhi",Green Park,"North Indian, Mughlai",600,3,Average,121
308315,Twenty Ten - Ashtan Sarovar Portico,"Ashtan Sarovar Portico, C 2, Green Park Extension, New Delhi, Green Park, New Delhi",Green Park,"North Indian, Continental, Chinese",1000,3,Average,23
